Perguntas;Respostas;Produto
Operador não está conseguindo fazer login, erro no login, não consegue logar;O colaborador está cadastrado no WSFM WEB e está habilitado para o grupo de máquina? Se sim, você deve abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM. Caso contrário, é necessário cadastrar funcionário no WSFM WEB conforme item 4.1.10 do manual Geral - Responsável: Técnico WSFM que atende a área.;WSFM
Não está abrindo a ordem, erro de abertura de ordem;Está tentando abrir a ordem de produção no CT para qual foi programado pelo PCP? A operação anterior foi apontada no SAP? Se sim, você deve abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM. Caso contrário, é necessário alterar o roteiro para o CT alternativo e reler a ordem e então apontar operação anterior - Responsável: PCP que atende a área.;WSFM
O ferramental não está validando, erro de validação de ferramental;O ferramental está cadastrado no MAP (SAP)? Está cadastrado e configurado para o CT no WSFM WEB? Se sim, você deve abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM. Caso contrário, é necessário cadastrar ferramental no MAP (SAP) - Responsável: Métodos e Tempos que atende a área. Deve também cadastrar e configurar o ferramental no WSFM WEB - Responsável: Técnico WSFM que atende a área.;WSFM
Eventos controlados, senha incorreta;A senha informada para acessar os eventos controlados está incorreta? Se sim, você deve verificar senha cadastrada nas configuraççes do WSFM WEB conforme item 4.4 do manual Geral - Responsável: Técnico WSFM que atende a área. Caso contrário, é necessário abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM.;WSFM
Erro de apontamento de produção, apontar no SAP;"A falha é gerada por indisponibilidade do SAP/WSFM? 
(ver mensagem de erro exibida no coletor) Se sim, você deve abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM. Caso contrário, é necessário avaliar status de apontamento no WSFM - Apontamento de ordem (informar número da ordem de produção) - Responsável: PCP que atende a área.";WSFM
OEE incorreto, OEE distorcido, OEE errado, IE errado, IQ errado, ID errado;"Algum dos índices: ID, IE, IQ, está distorcido causando OEE muito elevado/baixo por erro de apontamento? 
Se sim, você deve avaliar e corrigir apontamentos no WSFM WEB, conforme item 6.2.1 do manual Geral WSFM - Responsável: Técnico WSFM que atende a área. Caso contrário, é necessário abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM.";WSFM
Erro de apontamento de produção no SAP via WSFM;"A falha é gerada por indisponibilidade do SAP/WSFM?
Se sim: Abrir chamado para TI no portal WBS.
Se não: Avaliar status de apontamento no WSFM - Apontamento de ordem (informar número da ordem de produção) - Responsável: PCP que atende a área.";WSFM
OEE incorreto, OEE distorcido, OEE errado, IE errado, IQ errado, ID errado;"Algum dos índices: ID, IE, IQ, está distorcido causando OEE muito elevado/baixo por erro de apontamento?
Se sim: Avaliar e corrigir apontamentos no WSFM WEB, conforme item 6.2.1 do manual Geral WSFM - Responsável: Técnico WSFM que atende a área.
Abrir chamado para TI no portal WBS.";WSFM
IMS não liga ou não dá sinal;"Pode ser duas coisa:  
* Falta de alimentação: Verificar se o módulo ou computador estão alimentados e a fiação está conectada e possuem algum indicador luminoso ligado
* Monitor desligado:Verificar se o monitor está corretamente conectado ao IMS e à alimentação e está ligado";WSFM
O IMS não busca a ordem de produção do SFM;"Pode ser duas coisa:  
 * Lentidão no IMS: Identificar a ordem de produção diretamente no IMS
* Erro de comunicação IMS/SFM : Configurar o código SFM correto no menu ENS e SFM da configuração geral do IMS";WSFM
O que é o OEE?;OEE significa 'Overall Equipment Effectiveness' ou Eficiência Global do Equipamento. É um indicador usado para monitorar e melhorar processos industriais, medindo a produtividade através de três fatores: Disponibilidade, Eficiência e Qualidade.;WSFM
Como o OEE é calculado?;O OEE é o resultado da multiplicação de três índices: Índice de Disponibilidade (ID), Índice de Eficiência (IE) e Índice de Qualidade (IQ). A fórmula é: OEE = ID × IE × IQ;WSFM
Paradas para refeição afetam o OEE?;Não. O tempo de refeição, desde que dentro do período permitido, é considerado uma parada planejada e não entra no cálculo do OEE. Apenas o tempo que exceder o permitido será contabilizado como uma parada não planejada;WSFM
Quando devo usar o evento 'Falta de Programação'?;O evento 'Falta de Programação' deve ser utilizado apenas pelos Preparadores e Volantes quando não há demanda de produção. Ele pode ser usado após a conclusão de todas as ordens programadas para o dia, incluindo os atrasos.;WSFM
O que faço quando o sistema SFM fica fora do ar ou o coletor trava?;Quando o sistema fica inoperante, deve-se utilizar o evento 'Indisponibilidade SFM'. Isso garante que o período de falha seja neutro e não distorça os indicadores. As equipes que podem usar este evento são o SFM Industrial, SFM TI-STD e os Técnicos do SFM.;WSFM
Como eu cadastro um funcionário no coletor?;Na tela inicial, no quadro 'Funcionários', clique no ícone '+' e informe o código do seu crachá. Se as informaççes que aparecerem estiverem corretas, clique em 'Sim'.;WSFM
Qual a diferença entre o módulo WSFM Máquina e o módulo WSFM MOD?;O módulo 'WSFM Máquina' é o padrão, usado para medir a Eficiência Global dos Equipamentos (OEE). O módulo 'WSFM MOD' (Mão de Obra) foi criado para monitorar a disponibilidade de colaboradores em operaççes manuais, onde o tempo de fabricação é longo.;WSFM
Quais são as principais responsabilidades do Facilitador do WSFM?;O Facilitador é responsável pelo correto funcionamento do sistema no seu departamento. Suas atribuiççes incluem treinar operadores, analisar indicadores, conduzir reuniçes de melhoria, corrigir dados de apontamentos e ser o primeiro contato para identificar e resolver problemas no sistema.;WSFM
O painel principal do coletor (caixa cinza com PLC) está com problema. Quem devo chamar?;Para problemas nos componentes do painel principal, a equipe de suporte é a Manutenção. O Facilitador da área deve abrir uma ordem de manutenção (Ordem ZCOR).;WSFM
Como configuro os 'eventos de acesso rápido' que aparecem na parte de cima da tela do coletor?;Essa configuração é feita no WSFM Web, em 'CONFIGURAÇăO' > 'EVENTOS PADRňES POR POSTO DE TRABALHO'. Os eventos configurados nas posiççes de 1 a 6 aparecerão como acesso rápido.;WSFM
Como faço para cadastrar um feriado ou dia de recesso para que a máquina não fique com parada injustificada?;No WSFM WEB, vá em 'CADASTRO' > 'DIA NăO PLANEJADO POSTO DE TRABALHO'. Lá, você pode cadastrar previamente as datas e os turnos em que não haverá produção para que o sistema assuma automaticamente o evento 'Feriado/Concessão';WSFM
Apontei uma quantidade de peças errada. Como posso corrigir?;Você deve informar o Facilitador do SFM da sua área. Ele poderá corrigir o valor diretamente no WSFM WEB, acessando 'MANUTENÇăO' > 'APONTAMENTOS DE ORDEM', filtrando pela sua ordem de produção e editando a quantidade na coluna 'Manufactured'.;WSFM
Como faço para sequenciar as ordens de produção para o chão de fábrica?;O sequenciamento é feito no WSFM WEB, no menu 'MANUTENÇăO' > 'SEQUENCIAMENTO DE ORDEM'. Lá, você pode filtrar pelo centro de trabalho, selecionar as ordens desejadas na sequência correta e clicar em 'Salvar' para enviá-las ao coletor.;WSFM
O que é a função 'Clonar Configuração' no sistema?;É uma ferramenta para agilizar cadastros em massa. Ela permite copiar as configuraççes de uma máquina de referência para outra. Ela possui duas opççes: 'CLONAR', que apaga as configuraççes existentes e copia as novas, e 'INCREMENTAR', que mantém as existentes e adiciona as novas.;WSFM
Meu coletor está totalmente travado. O que devo fazer antes de abrir um chamado?;Antes de abrir um chamado para a TI, tente primeiro reiniciar o coletor. Se o problema persistir após a reinicialização, prossiga com a abertura do chamado detalhando o problema e informando que o equipamento já foi reiniciado.;WSFM
Os dados de um turno não carregaram e meus indicadores estão errados. O que eu faço?;Primeiramente, verifique no coletor se a ordem de produção foi finalizada corretamente e se os apontamentos de produção foram feitos. Se o problema persistir, a correção deve ser solicitada ao seu Suporte Industrial responsável. Para agilizar, abra uma solicitação no SharePoint da Indústria 4.0, detalhando o posto de trabalho, o turno e o período afetado.;WSFM
É possível mostrar a meta de OEE na tela inicial do coletor?;Essa funcionalidade foi solicitada e avaliada pela Comissão de Cadeia Integrada. No entanto, a ideia não foi aprovada para desenvolvimento no momento, pois não foram identificados ganhos suficientes que justificassem o esforço de implementação.;WSFM
Preciso abrir um chamado para a TI, mas não sei quem é o responsável. Como proceder?;O manual do WSFM possui uma tabela na seção 6.1.6 com os tipos de ocorrência e os responsáveis na equipe de TI (DSE). Por exemplo, para falhas de comunicação ou startup de novos coletores, o chamado deve ser direcionado para uma equipe específica. Ao abrir o chamado, você pode citar essa tabela e pedir o direcionamento correto.;WSFM
Para instalar um novo coletor. Quais cabos preciso passar para captação de sinais?;Normalmente, para a comunicação de sinais e alimentação do coletor, é utilizado um cabo de 8 vias. É importante garantir que a infraestrutura elétrica e de rede esteja disponível no local, conforme as especificaççes detalhadas no manual do WSFM, nas seççes que listam os componentes do Painel Principal e do Painel Monitor.;WSFM
Como o sistema WSFM define a lógica para saber se uma máquina está efetivamente operando ou se está parada?;"O sistema utiliza sinais digitais (DI) enviados por um controlador (PLC300) instalado na máquina. A lógica de ""máquina operando"" não depende de um único sinal, mas de uma combinação lógica definida para aquele equipamento. Por exemplo, o sistema pode ser configurado para considerar a máquina ""operando"" somente quando o sinal 
DI1=1 (indicando modo automático) E o sinal DI2=1 (indicando eixo do motor girando) estiverem ativos ao mesmo tempo. Qualquer outra combinação resultaria em ""máquina parada"".";WSFM
Minha máquina realiza microparadas que fazem parte do processo, mas o sistema insiste em abrir a tela de justificativa. Existe uma tolerância para isso?;"Sim, o sistema trabalha com uma sequência de três temporizadores para evitar registros de paradas desnecessários. O primeiro (T1) é um filtro para oscilaççes rápidas do sinal. O segundo (T2) é um tempo de tolerância; se a máquina voltar a operar dentro deste tempo, nenhuma parada é registrada. Apenas se o tempo T2 for ultrapassado é que o terceiro temporizador (T3) é ativado, exibindo a tela para o operador justificar o motivo da parada.";WSFM
Como configuro o sequenciamento automático de ordens entre dois postos de trabalho diferentes?;"Para que uma ordem finalizada no posto A seja automaticamente enviada para o posto B, você deve usar a ""Configuração de Característica por Posto de Trabalho"" no posto A. Crie uma nova característica com o tipo ""Configuração Posto de Trabalho"", a característica ""NEXT_WORKSTATION_SEQUENCE"" e no campo ""Valor"", insira um código no formato JSON, especificando o ID do posto de trabalho de destino e a operação. Ex: { """"workstationId"""": CÓDIGO_POSTO_B, """"operationld"""": """"CÓDIGO_OPERAÇăO"""", """"sequencedAtStart"""": false }.";WSFM
Qual é o procedimento passo a passo para corrigir um período em que a máquina produziu sem uma ordem de produção iniciada no coletor?;"Este é um processo de 4 etapas que deve ser feito no WSFM Web: 1. Identifique o início e o fim do período de ""Produção Sem Ordem"" na tela de ""Eventos de Produção"". 2. Crie um novo ""Programa de Produção"" na tela de manutenção, usando exatamente essas datas de início e fim. 3. Acesse o programa recém-criado e insira a Ordem de Produção correta. Em seguida, na mesma tela, insira o apontamento com a quantidade produzida. 4. Por fim, volte à tela de ""Eventos de Produção"", selecione os eventos de ""Produção Sem Ordem"" daquele período, associe-os ao novo número de programa criado e altere o tipo de evento para ""Operando"".";WSFM
Como posso habilitar a função de abertura de Nota de Manutenção (Nota PM) no SAP diretamente pela tela do coletor?;"A habilitação requer aççes no WSFM e no SAP. No WSFM Web, é preciso cadastrar duas características para o posto de trabalho: a primeira é a ""WORKSTATION_EXTENSION"" com o ramal de contato do responsável, e a segunda é a ""OPEN_MAINTENANCE_NOTE"" com o valor ""true"". Além disso, é crucial que no cadastro do posto de trabalho no WSFM o número de patrimônio do equipamento esteja correto e que, no SAP, o usuário responsável esteja cadastrado como parceiro (função VU) no cadastro do equipamento.";WSFM
"É possível criar um link para o Andon de Produção que mostre apenas máquinas paradas por ""Falta de Matéria-Prima"" e que não exiba as colunas de ""Patrimônio"" e ""Ferramenta""?";"Sim, a URL do Andon é customizável. Você deve usar o link base e adicionar parâmetros. Para filtrar pelo evento, adicione &events=""CÓDIGO_DO_EVENTO"". Para ocultar colunas, use o parâmetro &hiddenColumns=""ID_DA_COLUNA1"";""ID_DA_COLUNA2"". O ID da coluna ""Patrimônio"" é 2 e o da coluna ""Ferramenta"" é 13. A URL final ficaria parecida com:http://sfm.weg.net/Andon?parameters=...&events=""CÓDIGO_FALTA_MP""&hiddenColumns=""2"";""13"".";WSFM
Como o sistema lida com o apontamento de não conformidades (refugo) em relação ao SAP?;"O apontamento de não conformidade no coletor WSFM cria um registro no sistema, mas seu comportamento depende da configuração. Para a maioria das áreas, o registro serve para análise interna de qualidade e o apontador do PCP deve alterar o status manualmente no WSFM para ""Apontado Manualmente"". Em departamentos onde a funcionalidade de apontamento no SAP está habilitada, a tentativa de apontamento é feita automaticamente e, em caso de erro (ex: falta de material no SAP), o registro fica pendente na tela de ""Verificar Apontamentos"" para tratamento manual pelo PCP.";WSFM
Como funciona a lógica de metas para eventos de parada? Qual a diferença entre uma meta 'fixa por turno' e 'fixa por ocorrência'?;O sistema permite configurar metas de tempo para eventos de parada de formas distintas. Uma meta 'Fixa por turno', como a de 'Ginástica' (12 min), estabelece um tempo total permitido para aquele evento durante todo o turno de trabalho. Já uma meta 'Fixa por ocorrência', como para 'Troca de Bobina', define um tempo padrão permitido para cada vez que aquele evento específico acontece.;WSFM
Como as características 'eventPassGrp' e 'eventRangeGrp' funcionam em conjunto para controlar o acesso a eventos específicos no coletor?;"Elas trabalham juntas para criar níveis de acesso protegidos por senha. A característica 
eventRangeGrp (ex: eventRangeGrp1) define a qual grupo um intervalo de posiççes de eventos pertence (ex: valor ""50-59"" para eventos da chefia). A característica 
eventPassGrp (ex: eventPassGrp1) define qual é a senha para aquele grupo específico (ex: valor ""fab4""). Assim, quando o operador tenta selecionar um evento cuja posição está dentro da faixa ""50-59"", o sistema automaticamente solicita a senha ""fab4"".";WSFM
Qual o processo para desativar permanentemente um coletor que não será mais utilizado em um posto de trabalho? Por que não posso simplesmente desligá-lo?;"Simplesmente desligar o coletor pode gerar dados incorretos ou impactar negativamente os indicadores do departamento. O procedimento correto, que exige aprovação em CEO, envolve 7 passos: 1. Remover ordens, funcionários e ferramentais ativos no coletor. 2. Desligar o equipamento físico. 3. No WSFM Web, encerrar manualmente o último evento que ficou aberto. 4. Definir uma data final para a 'Capacidade de Produção' do posto. 5. Definir uma data final para o 'Fator de Conversão'. 6. Alterar o status do posto para ""Inativo"". 7. Alterar a configuração do coletor para ""Coletor Cadastro"".";WSFM
Se uma máquina já está parada por um motivo de manutenção e o operador sai para o intervalo de refeição, qual evento deve ser registrado no coletor?;"A regra é que o evento original, que representa a causa raiz da parada da máquina, deve ser mantido. Se a máquina já está parada por ""Manutenção Corretiva"", por exemplo, este evento deve permanecer ativo durante o período de refeição do operador. Mudar o evento para ""Refeição"" mascararia a disponibilidade real do equipamento e a duração total da parada de manutenção.";WSFM
"Estou configurando uma nova linha de produção com 5 máquinas idênticas. Qual a forma mais eficiente de replicar as configuraççes de eventos entre elas? Devo usar ""Clonar"" ou ""Incrementar""?";"Para garantir a padronização, a forma mais eficiente é configurar uma única máquina perfeitamente, usando-a como modelo. Em seguida, para as outras quatro máquinas, utilize a função ""Clonar Configuração"". A função ""Clonar"" apaga quaisquer configuraççes existentes na máquina de destino e cria uma cópia exata do modelo. A função ""Incrementar"" só deve ser usada se você quiser adicionar novos eventos a uma máquina que já possui uma configuração estabelecida e que precisa ser mantida.";WSFM
"Na tela ""Verificar Apontamentos"", o que significa o status ""Erro no apontamento"" e a mensagem na coluna ""Retorno""?";"O status ""Erro no apontamento"" indica que o WSFM tentou enviar a confirmação de produção para o SAP, mas o SAP a rejeitou. A coluna ""Retorno"" é crucial, pois exibe a mensagem de erro exata do SAP, como ""Ordem não ativa ou não liberada"" ou ""Erro no apontamento, rollback acionado"". A ação correta é analisar essa mensagem, corrigir o problema de origem no SAP e, depois, alterar manualmente o status no WSFM para ""Apontado Manualmente"".";WSFM
Para que o apontamento de não conformidade funcione, é necessário realizar 5 configuraççes. Qual é a relação lógica entre elas?;"As 5 configuraççes criam uma cadeia lógica para garantir que os dados de refugo sejam registrados de forma estruturada. A relação é a seguinte: a configuração ""CT Emitente x CT Causador"" define qual posto de trabalho pode apontar um defeito e quem pode ser responsabilizado. As outras quatro (x Causa, x Codificação, x Local e x Motivo) funcionam como um filtro, vinculando o posto que aponta o defeito (CT Emitente) às opççes que o operador poderá selecionar, garantindo que apenas as causas e motivos de defeito relevantes para aquele processo sejam exibidos.";WSFM
Meu Índice de Eficiência (IE) está consistentemente acima de 100%, mesmo quando a produção parece normal. Qual pode ser a causa técnica para isso?;"O Índice de Eficiência (IE) é calculado pela fórmula (Tempo Padrão x Peças Produzidas) / Tempo Operacional. Um IE acima de 100% quase sempre indica que o ""Tempo Padrão"" por peça, cadastrado no roteiro de produção no SAP, está incorreto ou desatualizado. Se o tempo padrão cadastrado for significativamente maior que o tempo de ciclo real da máquina, o resultado do cálculo será um IE superestimado. É necessário solicitar uma revisão dos tempos padrão à Engenharia Industrial.";WSFM
" ""Tempo Alocado"" e ""Tempo Disponível"". Qual a diferença e como eles impactam os cálculos?";"A diferença é fundamental. ""Tempo Alocado"" é o tempo total de um período (ex: um turno de 8 horas) menos os ""Tempos Não Alocados"", que são períodos onde a produção sequer é planejada (como fins de semana ou feriados). Já o ""Tempo Disponível"" é o ""Tempo Alocado"" menos as ""Paradas Planejadas"" (como refeiççes e manutenççes preventivas). O OEE é calculado sobre o Tempo Disponível, enquanto o TEEP é calculado sobre o Tempo Total, tornando o OEE um indicador de eficiência operacional e o TEEP um indicador de utilização da capacidade total do ativo.";WSFM
O que é o SharePoint e por que eu não consigo acessar um site ou documento?;O SharePoint é uma ferramenta para armazenar, organizar e compartilhar documentos e informações. Se você não consegue acessar algo, provavelmente é porque você não tem as permissões necessárias. O acesso é controlado pelos donos do site ou por um administrador de TI.;Sharepoint
Como posso ter acesso a um site ou documento do SharePoint?;"A maneira mais comum é solicitar o acesso. Ao tentar abrir um site ou documento sem permissão, muitas vezes aparece uma opção para ""Solicitar Acesso"". O proprietário do site receberá sua solicitação por e-mail e poderá conceder ou negar a permissão.";Sharepoint
"Recebi a mensagem ""Acesso Negado"". O que devo fazer?";Isso significa que o acesso ao site ou documento foi negado. Se você precisa de acesso para trabalhar, entre em contato com o proprietário do site ou com o departamento de TI da sua empresa para que eles possam verificar suas permissões e, se necessário, conceder o acesso.;Sharepoint
Por que eu posso ver alguns documentos em uma pasta, mas não outros?;As permissões no SharePoint podem ser configuradas em diferentes níveis: para um site inteiro, para uma pasta ou até para um documento individual. É possível que você tenha permissão para ver a pasta, mas não para abrir um documento específico dentro dela. Nesse caso, a pessoa que compartilhou o documento com você pode ter esquecido de conceder as permissões corretas.;Sharepoint
Preciso compartilhar um arquivo com alguém. Como faço isso?;"O SharePoint oferece opções de compartilhamento. Você pode criar um link de compartilhamento para ""Qualquer pessoa"" (não recomendado para documentos confidenciais), para ""Pessoas da sua organização"" ou para ""Pessoas específicas"". A melhor prática é compartilhar com pessoas específicas para garantir que apenas quem precisa tenha acesso.";Sharepoint
"O que são ""proprietários"", ""membros"" e ""visitantes""?";São os três grupos de permissão padrão no SharePoint: Proprietários: Têm controle total sobre o site, podendo adicionar e remover pessoas, e gerenciar configurações. Membros: Podem editar, adicionar e excluir documentos e itens. Visitantes: Têm acesso apenas para visualização;Sharepoint
Qual a diferença entre o SharePoint e o OneDrive?;" O OneDrive é um espaço de armazenamento pessoal na nuvem, como um disco rígido online. Já o SharePoint é uma ferramenta de colaboração em equipe, usada para criar sites, bibliotecas e listas onde várias pessoas podem trabalhar juntas nos mesmos arquivos e projetos. O OneDrive é para ""meus arquivos"", enquanto o SharePoint é para ""nossos arquivos"".";Sharepoint
"O que são ""sites"" e ""bibliotecas de documentos"" no SharePoint?";"Um ""site"" no SharePoint é como um espaço de trabalho online para uma equipe ou projeto. Dentro de um site, você pode ter ""bibliotecas de documentos"", que são essencialmente pastas inteligentes onde você armazena e gerencia seus arquivos.";Sharepoint
"O que é ""versionamento de documentos"" e por que é importante?";O versionamento de documentos é um recurso que salva automaticamente as versões anteriores de um arquivo a cada alteração. Isso é importante porque permite que você veja o histórico de modificações, quem as fez e quando, além de poder restaurar uma versão anterior caso precise.;Sharepoint
Posso trabalhar no mesmo documento que outra pessoa ao mesmo tempo?;Sim, o SharePoint permite a coautoria de documentos. Várias pessoas podem editar o mesmo arquivo simultaneamente (em ferramentas como Word, Excel ou PowerPoint) e ver as alterações dos outros em tempo real.;Sharepoint
Como posso encontrar um documento que não lembro onde salvei?;O SharePoint tem uma poderosa ferramenta de busca. Em vez de procurar em pastas e subpastas, você pode usar a barra de pesquisa na parte superior da tela para encontrar arquivos, sites e pessoas usando palavras-chave, independentemente de onde estejam armazenados.;Sharepoint
"O que é ""sincronizar"" um site ou biblioteca?";Sincronizar significa que você pode ter uma cópia de um site do SharePoint no seu computador (usando o OneDrive). Assim, você pode acessar e trabalhar nos arquivos mesmo sem internet, e as alterações serão sincronizadas automaticamente com a nuvem quando você se reconectar.;Sharepoint
"O que são as ""listas"" no SharePoint?";As listas são como planilhas inteligentes que você pode criar no SharePoint para armazenar dados em formato de tabela, como uma lista de tarefas, contatos ou um banco de dados simples. Elas são diferentes das bibliotecas de documentos, que são usadas para arquivos.;Sharepoint
Posso receber alertas quando um documento for alterado?;Sim. Você pode configurar alertas para receber notificações por e-mail quando algo for alterado em um arquivo, pasta ou em um site inteiro. Isso ajuda a acompanhar as atividades e as atualizações do seu time.;Sharepoint
O SharePoint substitui um servidor de arquivos tradicional?;Sim, o SharePoint pode ser uma alternativa moderna aos servidores de arquivos tradicionais. Ele oferece a vantagem de poder ser acessado de qualquer lugar, colaboração em tempo real, controle de versões e uma busca mais poderosa, além de mais segurança.;Sharepoint
"O que são ""permissões exclusivas"" e quando devo usá-las?";Permissões exclusivas quebram a herança de permissões de um site ou biblioteca. Isso significa que você pode definir permissões diferentes para uma subpasta ou documento específico. Use-as com cuidado, pois podem tornar o gerenciamento de acesso mais complexo.;Sharepoint
O que acontece se eu compartilhar um arquivo com alguém que não tem acesso ao site?;O SharePoint cria um link de compartilhamento que dá acesso apenas ao item que você está compartilhando, e não a todo o site. A pessoa pode ver ou editar o arquivo, dependendo das permissões que você definiu para o link.;Sharepoint
Qual a melhor forma de organizar meus arquivos e pastas no SharePoint?;A melhor prática é planejar a estrutura de pastas e usar metadados. Evite criar muitas subpastas e dê aos arquivos e pastas nomes claros e padronizados para facilitar a busca e a organização.;Sharepoint
É seguro armazenar documentos confidenciais no SharePoint?;Sim, o SharePoint possui recursos de segurança robustos. Você pode configurar permissões de acesso, usar a autenticação multifator e definir políticas de conformidade para garantir que apenas as pessoas autorizadas tenham acesso a informações sensíveis.;Sharepoint
: O que fazer se eu encontrar um link quebrado ou uma página que não carrega?;Se isso acontecer, a melhor ação é relatar o problema. Entre em contato com o proprietário do site ou com o suporte de TI da sua empresa. Eles podem verificar se há problemas de permissão ou se a página ou o link foi movido ou excluído.;Sharepoint
Quando a tela do dashboard está com zoom o que devo fazer?;Deve criar um chamado para a TI para a realização da configuração em campo;Dashboard
Como faço para configurar um novo dashboard?;Deve abrir um chamado para a equipe de Sistemas Integrados de Manufatura informando o ID do posto e o nome cadastrado. ;Dashboard
Sabe porque do OEE em tempo real estar zerado?;Se for um posto que possui a contagem de peças integrada, pode ter ocorrido algum problema no sinal ou o fator de conversão do posto ou ordem pode estar zerado.;Dashboard
Por que a tela do dashboard está branca?;A versão que foi carregada pode ter sido corrompida. Entre em contato com a equipe de Sistemas Integrados de Manufatura informando o ID do equipamento e o nome cadastrado.;Dashboard
"A mensagem ""Contate um Técnico WSFM"" aparece por que?";Essa mensagem aparece quando o OEE está acima de 150%;Dashboard
Onde consigo desabilitar um colaborador que está de férias?;"1. Acessar https://simbridge.weg.net/pt-br/colaboradores.
2. Pesquisar o nome do colaborador na barra de pesquisa.
3. Ao localizar, clicar em Desativar ou Ativar.
Observação: todas as ações do sistema são registradas.";Cadeia de ajuda
Como posso configurar um posto de trabalho para que, quando um chamado seja criado, várias pessoas possam recebê-lo e atendê-lo?;"1. Acessar https://help-chain.weg.net/pt-br/dispositivos.
2. Pesquisar pelo posto de trabalho/dispositivo.
3. Acessar o tipo de auxiliar que deseja configurar para contatar várias pessoas.
4. Clicar na engrenagem para abrir o popup.
- Selecionar o checkbox 'Vários podem aceitar a mesma demanda'.

Após esses passos, será possível que vários colaboradores recebam, aceitem e trabalhem na mesma demanda.";Cadeia de ajuda
Quais são as diferenças entre o SIM Bridge, o Nexus e o novo Helpchain?;"O SIM Bridge é a aplicação centralizadora da Engenharia Industrial, responsável por normalizar dados e gerenciar configurações globais de pessoas, horários e hierarquias, reduzindo retrabalhos relacionados a autenticações, permissões e responsabilidades.

O Helpchain é a ferramenta voltada para a configuração de postos de trabalho/dispositivos e dos motivos que originam chamados, permitindo flexibilidade na gestão das demandas.

Já o Nexus é a interface final para o usuário/colaborador. Seu foco é ser rápido, simples e objetivo, acelerando o atendimento à produção e apoiando a digitalização e a melhoria contínua dos processos.";Cadeia de ajuda
Como faço para que os motivos de chamados e auxiliares apareçam nos coletores do sistema MES?;"1. Acessar https://help-chain.weg.net/pt-br/dispositivos.
2. Configurar os motivos de chamados e auxiliares desejados.
3. Clicar no botão verde (conforme imagem).
4. Aguardar 60 a 120 segundos para sincronização do coletor.

Após isso, os chamados e auxiliares estarão disponíveis nos coletores do sistema MES.";Cadeia de ajuda
